Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Multicomp_BC-2001_1x2032",75.050000,-56.500000,180.000000,bottom
"C1","100n","C_0805_2012Metric",81.300000,-53.800000,-90.000000,top
"D1","LED","LED_0805_2012Metric",67.100000,-64.362500,90.000000,top
"D2","LED","LED_0805_2012Metric",70.400000,-64.400000,-90.000000,top
"D3","LED","LED_0805_2012Metric",73.800000,-64.362500,90.000000,top
"D4","LED","LED_0805_2012Metric",77.100000,-64.362500,-90.000000,top
"D5","LED","LED_0805_2012Metric",80.300000,-64.400000,-90.000000,top
"D6","LED","LED_0805_2012Metric",83.500000,-64.362500,90.000000,top
"R1","10k","R_0805_2012Metric",68.000000,-52.800000,180.000000,top
"R2","1k","R_0805_2012Metric",78.100000,-59.800000,90.000000,top
"R3","1k","R_0805_2012Metric",81.000000,-59.800000,90.000000,top
"R4","1k","R_0805_2012Metric",83.700000,-59.812500,-90.000000,top
"R5","10k","R_0805_2012Metric",67.987500,-57.200000,180.000000,top
"R6","10k","R_0805_2012Metric",67.987500,-55.100000,0.000000,top
"SW1","SW_Push_Dual","SW_SPST_PTS810",81.700000,-47.800000,0.000000,top
"TH1","10k","R_0805_2012Metric",68.000000,-60.400000,0.000000,top
"U1","ATtiny85V-10S","SOIC-8W_5.3x5.3mm_P1.27mm",74.950000,-54.805000,0.000000,top
